Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),w,x,y,z,Direct (°),Yaw (°),Pitch (°),Roll (°),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
67.83015962,20.90864167,73.86940333,10483.93445,235.7813873,221.3099976,2.599999905,20.89999962,,,,,,,,,,,,,,,,,
68.83104585,20.90704333,73.86791667,10482.93833,235.7891083,221.0700073,2.599999905,20.60000038,,,,,,,,,,,,,,,,,
69.82986,20.90544333,73.86642833,10482.54221,235.7752075,221.1199951,2.599999905,19.5,,,,,,,,,,,,,,,,,
70.83175931,20.90384167,73.86493667,10482.94609,236.016098,221.2599945,2.599999905,19.5,,,,,,,,,,,,,,,,,
71.83152831,20.90224,73.86344667,10483.14997,236.0356598,221.0299988,2.5,20.20000076,,,,,,,,,,,,,,,,,
72.82901908,20.90064167,73.86195,10485.05383,235.6707153,221.3899994,2.5,20.20000076,,,,,,,,,,,,,,,,,
73.83034308,20.89904667,73.860455,10484.35768,236.1591949,221.1799927,2.5,18.60000038,,,,,,,,,,,,,,,,,
74.83169847,20.89744667,73.85896167,10483.56155,236.0696259,221.1100006,2.5,18.5,,,,,,,,,,,,,,,,,
75.83039993,20.89584667,73.85747,10484.16541,235.7535858,221.1999969,2.5,18.79999924,,,,,,,,,,,,,,,,,
76.8320077,20.89425167,73.85597833,10483.36926,235.9944763,221.1900024,2.599999905,17.79999924,,,,,,,,,,,,,,,,,
77.83391285,20.89265333,73.854485,10483.37311,236.0186615,221.2200012,2.5,17.60000038,,,,,,,,,,,,,,,,,
78.82908824,20.89105333,73.85299333,10483.37697,235.9146881,221.1399994,2.5,17.39999962,,,,,,,,,,,,,,,,,
79.831355,20.88945167,73.8515,10483.18084,235.9445496,221.2100067,2.5,16.79999924,,,,,,,,,,,,,,,,,
80.83271039,20.88785167,73.85000833,10483.28469,236.0495453,221.1900024,2.5,16.89999962,,,,,,,,,,,,,,,,,
81.83248493,20.88625,73.848515,10482.98855,236.0814667,221.1100006,2.5,16.5,,,,,,,,,,,,,,,,,
82.83437654,20.88464667,73.84702167,10482.39241,235.9553528,221.1600037,2.5,17.0,,,,,,,,,,,,,,,,,
83.8349147,20.88304667,73.84552667,10482.29626,236.3300781,221.1799927,2.5,17.70000076,,,,,,,,,,,,,,,,,
84.82889631,20.881445,73.84402667,10483.00011,236.1911011,221.0599976,2.5,17.5,,,,,,,,,,,,,,,,,
85.83112516,20.879845,73.84253,10482.70395,236.0984497,221.2599945,2.5,16.89999962,,,,,,,,,,,,,,,,,
86.83175808,20.87824667,73.84103667,10481.80779,236.1195526,221.2100067,2.599999905,17.29999924,,,,,,,,,,,,,,,,,
87.8304067,20.876645,73.83954333,10481.21163,236.392868,221.1799927,2.599999905,17.79999924,,,,,,,,,,,,,,,,,
88.83214731,20.875045,73.83805,10481.01547,235.9996185,221.1999969,2.599999905,16.70000076,,,,,,,,,,,,,,,,,
89.83459162,20.873445,73.836555,10480.71931,236.2667694,221.2899933,2.599999905,16.20000076,,,,,,,,,,,,,,,,,
